method;uri;name;controller;action;middleware;domaine;type;statut
GET;/activity-handler/hierarchy/{id?};activity-handler.hierarchy;ActivityController;hierarchy;"web Authenticate";D01;action;à-porter
GET;/activity-handler/list;activity-handler.list;ActivityController;list;"web Authenticate";D01;action;à-porter
GET;/settings/activities/export/excel;activities.export.excel;ActivityController;exportExcel;"web Authenticate";D01;export;à-porter
GET;/settings/activities/export/pdf;activities.export.pdf;ActivityController;exportPdf;"web Authenticate";D01;export;à-porter
GET;/tools;;ActivityController;index;"web Authenticate";D01;crud;à-porter
GET;/tools/activities;activities.index;ActivityController;index;"web Authenticate";D01;crud;à-porter
POST;/tools/activities;activities.store;ActivityController;store;"web Authenticate";D01;crud;à-porter
GET;/tools/activities/create;activities.create;ActivityController;create;"web Authenticate";D01;vue;abandonné
GET;/tools/activities/{activity};activities.show;ActivityController;show;"web Authenticate";D01;crud;à-porter
PUT|PATCH;/tools/activities/{activity};activities.update;ActivityController;update;"web Authenticate";D01;crud;à-porter
DELETE;/tools/activities/{activity};activities.destroy;ActivityController;destroy;"web Authenticate";D01;crud;à-porter
GET;/tools/activities/{activity}/edit;activities.edit;ActivityController;edit;"web Authenticate";D01;vue;abandonné
GET;/repositories/author-contact;author-contact.index;AuthorContactController;index;"web Authenticate";D01;crud;à-porter
POST;/repositories/author-contact;author-contact.store;AuthorContactController;store;"web Authenticate";D01;crud;à-porter
GET;/repositories/author-contact/create;author-contact.create;AuthorContactController;create;"web Authenticate";D01;vue;abandonné
GET;/repositories/author-contact/{author_contact};author-contact.show;AuthorContactController;show;"web Authenticate";D01;crud;à-porter
PUT|PATCH;/repositories/author-contact/{author_contact};author-contact.update;AuthorContactController;update;"web Authenticate";D01;crud;à-porter
DELETE;/repositories/author-contact/{author_contact};author-contact.destroy;AuthorContactController;destroy;"web Authenticate";D01;crud;à-porter
GET;/repositories/author-contact/{author_contact}/edit;author-contact.edit;AuthorContactController;edit;"web Authenticate";D01;vue;abandonné
GET;/repositories/authors/{author}/contacts/create;author-contact.create.for-author;AuthorContactController;create;"web Authenticate";D01;vue;abandonné
GET;/api/author-types;;AuthorController;authorTypesApi;"web Authenticate";D01;action;à-porter
GET;/api/authors;;AuthorController;indexApi;"web Authenticate";D01;action;à-porter
POST;/api/authors;;AuthorController;storeApi;"web Authenticate";D01;action;à-porter
GET;/tools/communicabilities;communicabilities.index;CommunicabilityController;index;"web Authenticate";D01;crud;à-porter
POST;/tools/communicabilities;communicabilities.store;CommunicabilityController;store;"web Authenticate";D01;crud;à-porter
GET;/tools/communicabilities/create;communicabilities.create;CommunicabilityController;create;"web Authenticate";D01;vue;abandonné
GET;/tools/communicabilities/{communicability};communicabilities.show;CommunicabilityController;show;"web Authenticate";D01;crud;à-porter
PUT|PATCH;/tools/communicabilities/{communicability};communicabilities.update;CommunicabilityController;update;"web Authenticate";D01;crud;à-porter
DELETE;/tools/communicabilities/{communicability};communicabilities.destroy;CommunicabilityController;destroy;"web Authenticate";D01;crud;à-porter
GET;/tools/communicabilities/{communicability}/edit;communicabilities.edit;CommunicabilityController;edit;"web Authenticate";D01;vue;abandonné
GET;/external/contacts;external.contacts.index;ExternalContactController;index;"web Authenticate";D01;crud;à-porter
POST;/external/contacts;external.contacts.store;ExternalContactController;store;"web Authenticate";D01;crud;à-porter
GET;/external/contacts/create;external.contacts.create;ExternalContactController;create;"web Authenticate";D01;vue;abandonné
GET;/external/contacts/{contact};external.contacts.show;ExternalContactController;show;"web Authenticate";D01;crud;à-porter
PUT|PATCH;/external/contacts/{contact};external.contacts.update;ExternalContactController;update;"web Authenticate";D01;crud;à-porter
DELETE;/external/contacts/{contact};external.contacts.destroy;ExternalContactController;destroy;"web Authenticate";D01;crud;à-porter
GET;/external/contacts/{contact}/edit;external.contacts.edit;ExternalContactController;edit;"web Authenticate";D01;vue;abandonné
GET;/external/organizations;external.organizations.index;ExternalOrganizationController;index;"web Authenticate";D01;crud;à-porter
POST;/external/organizations;external.organizations.store;ExternalOrganizationController;store;"web Authenticate";D01;crud;à-porter
GET;/external/organizations/create;external.organizations.create;ExternalOrganizationController;create;"web Authenticate";D01;vue;abandonné
